country_code,year,records_count,institutions_count,institutions_with_student_data,institutions_with_funding_ppp_data,institutions_with_funding_eur_data,median_students_per_institution,median_funding_per_student_ppp,median_funding_per_student_eur,student_data_coverage,funding_ppp_data_coverage
MT,2016,2,2,2,2,2,6667.5,5936.331188125231,4982.362766193506,1.0,1.0
MT,2017,4,4,3,3,3,2290.0,8393.940636226167,7166.352,0.75,0.75
MT,2018,4,4,4,4,4,1410.7200000000003,7382.041827966505,6386.9130613893085,1.0,1.0
MT,2019,4,4,4,4,4,1516.4714299589302,9119.352117013737,7901.654148181009,1.0,1.0
MT,2020,7,7,7,6,6,471.6,6863.448823622495,5990.219093241829,1.0,0.8571428571428571
MT,2021,8,8,8,8,8,514.85,3663.211995896495,3253.6905372392384,1.0,1.0
MT,2022,11,11,11,11,11,525.0,3455.0557736874935,3126.2864864864864,1.0,1.0
MT,2023,13,13,13,13,13,480.0,5955.707725135405,5379.260730127274,1.0,1.0
NL,2014,56,56,56,55,55,8432.5,10179.185215951728,11486.396181384249,1.0,0.9821428571428571
NL,2015,56,56,56,55,55,8597.5,10669.366715410348,12018.934911242604,1.0,0.9821428571428571
NL,2016,56,56,56,55,55,8852.5,10875.742565017728,12453.921568627451,1.0,0.9821428571428571
NL,2017,58,58,57,55,55,7451.0,10772.095701187123,12266.185374941779,0.9827586206896551,0.9482758620689655
NL,2018,57,57,55,53,53,7164.0,10726.01495718524,12285.792052259118,0.9649122807017544,0.9298245614035088
NL,2019,57,57,55,53,53,7008.0,10433.310456195497,12309.32400932401,0.9649122807017544,0.9298245614035088
NL,2020,57,57,56,54,54,6105.5,10056.592639772494,11772.649607823272,0.9824561403508771,0.9473684210526315
NL,2021,57,57,55,53,53,6805.0,11216.216407925069,13038.851574212893,0.9649122807017544,0.9298245614035088
NL,2022,57,57,56,54,54,5937.5,14014.29335772566,16209.912698080541,0.9824561403508771,0.9473684210526315
NL,2023,57,57,54,52,52,9342.5,14251.887993756944,16672.14361285675,0.9473684210526315,0.9122807017543859
NO,2014,48,48,47,47,47,2795.0,7956.5105263564465,12328.667536362813,0.9791666666666666,0.9791666666666666
NO,2015,48,48,47,47,47,3210.0,7559.500745990146,11668.167449378594,0.9791666666666666,0.9791666666666666
NO,2016,37,37,36,35,35,3697.5,7581.594905793891,11796.901612129148,0.972972972972973,0.9459459459459459
NO,2017,32,32,31,30,30,4193.0,8397.556958694873,12779.916639272918,0.96875,0.9375
