country_code,year,records,institutions_count,total_students,students_isced5_7_total,students_isced8,mean_observed_institution_size,median_institution_size,min_institution_size,max_institution_size,foreign_students,academic_personnel_fte,total_personnel_fte,total_current_revenues_eur,total_current_expenditure_eur,total_current_revenues_ppp,total_current_expenditure_ppp,institutions_with_student_data,student_coverage_share,avg_observed_institution_size,students_per_registered_institution,avg_institution_size,foreign_students_share,student_staff_ratio,revenue_per_student_eur,expenditure_per_student_eur,revenue_per_student_ppp,expenditure_per_student_ppp
BE,2019,149,149,474766.0,453288.0,21478.0,7535.9682539682535,4471.0,54.0,53173.0,72590.0,27686.967800000006,45992.6867,3545083564.0088205,3209565078.8500004,3133415443.095,2836858596.448585,63,0.4228187919463087,7535.9682539682535,3186.3489932885905,3186.3489932885905,0.15289637421382324,17.14763434658236,7467.012305027783,6760.309455289554,6599.9154174793475,5975.277497648494
BE,2020,149,149,500402.0,478496.0,21906.0,7942.888888888889,4498.0,53.0,54958.0,77994.0,15228.060000000001,38406.21,3840304324.36,3272461000.0,3425570503.5011196,2919051441.9260173,63,0.4228187919463087,7942.888888888889,3358.4026845637586,3358.4026845637586,0.1558626864001343,32.86052195749163,7674.438400246202,6539.664110055515,6845.63711476197,5833.412819944799
BE,2021,148,148,512080.0,491098.0,20982.0,8128.253968253968,4611.0,50.0,56631.0,82559.0,15403.21,39383.91,4005291653.4,3562933699.9300003,3548871313.739911,3156921965.896103,63,0.42567567567567566,8128.253968253968,3460.0,3460.0,0.16122285580378065,33.24501840850057,7821.613133494767,6957.76773146774,6930.306424269472,6164.899949023791
BE,2022,144,144,395960.0,380205.0,15755.0,6946.666666666667,3815.0,45.0,57250.0,57415.0,15665.0,40185.0,4449898953.02,4213674538.56,3934655778.787745,3725783225.2177377,57,0.3958333333333333,6946.666666666667,2749.722222222222,2749.722222222222,0.14500202040610163,25.276731567187998,11238.253745378322,10641.667184968179,9937.00317907805,9409.493951959132
BE,2023,143,143,399445.0,383310.0,16135.0,6442.6612903225805,2907.5,0.0,56795.0,58295.0,15745.0,40505.0,4848964913.111165,4312974681.379999,4305483705.025763,3829568277.6875057,62,0.43356643356643354,6442.6612903225805,2793.3216783216785,2793.3216783216785,0.14593999173853722,25.369641155922515,12139.255499783863,10797.418121093015,10778.664659779852,9587.222966084206
BG,2014,52,52,278375.0,272025.0,6350.0,5353.365384615385,3602.5,65.0,24630.0,11835.0,18110.0,28705.0,,,,,52,1.0,5353.365384615385,5353.365384615385,5353.365384615385,0.042514593623709025,15.371341800110436,,,,
BG,2015,52,52,266115.0,259640.0,6475.0,5117.596153846154,3342.5,55.0,24315.0,12090.0,17710.0,28090.0,,,,,52,1.0,5117.596153846154,5117.596153846154,5117.596153846154,0.04543148638746407,15.026256352343308,,,,
BG,2016,52,52,249290.0,242840.0,6450.0,4794.038461538462,3087.5,40.0,23585.0,13650.0,17255.0,27715.0,,,,,52,1.0,4794.038461538462,4794.038461538462,4794.038461538462,0.05475550563600626,14.447406548826427,,,,
BG,2017,52,52,235716.0,229422.0,6294.0,4533.0,2830.5,52.0,23120.0,15035.0,,,,,,,52,1.0,4533.0,4533.0,4533.0,0.06378438459841504,,,,,
BG,2018,52,52,228952.0,222749.0,6203.0,4402.923076923077,2816.5,48.0,22943.0,16340.0,,,,,,,52,1.0,4402.923076923077,4402.923076923077,4402.923076923077,0.07136867116251441,,,,,
BG,2019,52,52,226162.0,219936.0,6226.0,4349.2692307692305,2747.5,42.0,22629.0,17376.0,,,,,,,52,1.0,4349.2692307692305,4349.2692307692305,4349.2692307692305,0.07682988300421821,,,,,
BG,2020,52,52,225871.0,219503.0,6368.0,4343.673076923077,2674.5,47.0,23357.0,17942.0,,,,,,,52,1.0,4343.673076923077,4343.673076923077,4343.673076923077,0.07943472158887152,,,,,
BG,2021,52,52,226561.0,220227.0,6334.0,4356.942307692308,2700.5,43.0,23683.0,18918.0,,,,,,,52,1.0,4356.942307692308,4356.942307692308,4356.942307692308,0.08350069076319402,,,,,
BG,2022,52,52,221095.0,214782.0,6313.0,4251.826923076923,2602.0,68.0,23016.0,18958.0,,,,,,,52,1.0,4251.826923076923,4251.826923076923,4251.826923076923,0.08574594631267102,,,,,
BG,2023,52,52,195516.0,190513.0,5003.0,3759.923076923077,2105.0,77.0,20851.0,16269.0,,,,,,,52,1.0,3759.923076923077,3759.923076923077,3759.923076923077,0.08321058123120359,,,,,
CH,2014,35,35,233295.0,209605.0,23690.0,6665.571428571428,3015.0,155.0,26335.0,57210.0,38130.0,56060.0,8633546435.86366,8611161360.118559,5863873030.101382,5848669168.870821,35,1.0,6665.571428571428,6665.571428571428,6665.571428571428,0.24522600141451809,6.118410700236034,37006.993016839886,36911.04121442191,25135.013738405803,25069.843626613605
CH,2015,35,35,238605.0,214210.0,24395.0,6817.285714285715,2965.0,170.0,26050.0,59120.0,39630.0,58140.0,10066471561.932764,10084830364.380184,6254755064.0243435,6266162220.133706,35,1.0,6817.285714285715,6817.285714285715,6817.285714285715,0.24777351690031643,6.020817562452687,42188.85422322568,42265.79646017554,26213.847421572656,26261.655120947617
CH,2016,35,35,244035.0,219220.0,24815.0,6972.428571428572,2860.0,185.0,26255.0,61175.0,40360.0,59275.0,10024664302.7039,10034010230.383415,6316108594.252964,6321997060.176153,35,1.0,6972.428571428572,6972.428571428572,6972.428571428572,0.25068125473804986,6.046456888007929,41078.797314745425,41117.09480354627,25881.97838118698,25906.107977036707
