country_code,year,institutions_count,institutions_with_student_data,student_coverage_share,avg_observed_institution_size,students_per_registered_institution,records_with_complete_isced_structure,complete_isced_structure_share,isced_structure_coverage_flag,isced_shares_reliable,total_students,total_students_reliable,students_total_reliable,students_total_calc,students_total_with_observed_isced8,students_total_component_sum_complete_records,students_total_component_sum_incomplete_records,students_total_component_sum_incomplete_students,students_total_component_sum_incomplete_share,students_isced5,students_isced6,students_isced7,students_isced8,isced5_share_observed,isced6_share_observed,isced7_share_observed,isced8_share_observed,isced5_share_reliable,isced6_share_reliable,isced7_share_reliable,isced8_share_reliable,isced5_share,isced6_share,isced7_share,isced8_share,phd_share,phd_share_observed,phd_share_reliable,foreign_students_total,foreign_students_total_with_observed_isced8,foreign_total_component_sum_complete_records,foreign_total_component_sum_incomplete_records,foreign_total_component_sum_incomplete_students,foreign_total_component_sum_incomplete_share,foreign_students_share,foreign_students_isced5_share,foreign_students_isced6_share,foreign_students_isced7_share,foreign_students_isced8_share,foreign_students_share_aggregate_unmatched,foreign_students_share_pair_numerator,foreign_students_share_pair_denominator,foreign_students_share_pair_records,foreign_students_share_pair_institutions,foreign_students_share_pair_record_coverage,foreign_students_share_denominator_coverage
FI,2015,41,41,1.0,7248.048780487805,7248.048780487805,41,1.0,high,True,297170.0,297170.0,True,291755.0,41,0,0,,0.0,0.0,215195.0,57030.0,19530.0,0.0,0.7375880447635859,0.19547222841082415,0.06693972682558996,0.0,0.7375880447635859,0.19547222841082415,0.06693972682558996,0.0,0.7375880447635859,0.19547222841082415,0.06693972682558996,0.06693972682558996,0.06693972682558996,0.06693972682558996,20360.0,41,0,0,,0.0,0.06851297237271596,,0.045842143172471476,0.11976152901981413,0.1858678955453149,0.06851297237271596,20360.0,297170.0,41,41,1.0,1.0
FI,2016,41,41,1.0,7207.804878048781,7207.804878048781,41,1.0,high,True,295520.0,295520.0,True,289965.0,41,0,0,,0.0,0.0,211045.0,60045.0,18875.0,0.0,0.7278292207680237,0.20707671615539808,0.06509406307657821,0.0,0.7278292207680237,0.20707671615539808,0.06509406307657821,0.0,0.7278292207680237,0.20707671615539808,0.06509406307657821,0.06509406307657821,0.06509406307657821,0.06509406307657821,21100.0,41,0,0,,0.0,0.0713995668651868,,0.047075268307706884,0.12473977849945873,0.1947019867549669,0.0713995668651868,21100.0,295520.0,41,41,1.0,1.0
FI,2017,40,40,1.0,7363.0,7363.0,40,1.0,high,True,294520.0,294520.0,True,288760.0,40,0,0,,0.0,0.0,207295.0,62840.0,18625.0,0.0,0.7178799002631944,0.21762016899847625,0.06449993073832941,0.0,0.7178799002631944,0.21762016899847625,0.06449993073832941,0.0,0.7178799002631944,0.21762016899847625,0.06449993073832941,0.06449993073832941,0.06449993073832941,0.06449993073832941,20370.0,40,0,0,,0.0,0.06916338449001766,,0.04638317373790974,0.11330362826225335,0.1940939597315436,0.06916338449001766,20370.0,294520.0,40,40,1.0,1.0
FI,2018,40,40,1.0,7386.375,7386.375,40,1.0,high,True,295455.0,295455.0,True,289625.0,40,0,0,,0.0,0.0,205485.0,65830.0,18310.0,0.0,0.7094864048338368,0.22729391454466982,0.06321968062149332,0.0,0.7094864048338368,0.22729391454466982,0.06321968062149332,0.0,0.7094864048338368,0.22729391454466982,0.06321968062149332,0.06321968062149332,0.06321968062149332,0.06321968062149332,20230.0,40,0,0,,0.0,0.06847066389128632,,0.04618341971433438,0.10603068509797964,0.20480611687602404,0.06847066389128632,20230.0,295455.0,40,40,1.0,1.0
FI,2019,39,39,1.0,7587.948717948718,7587.948717948718,39,1.0,high,True,295930.0,295930.0,True,290165.0,39,0,0,,0.0,0.0,204690.0,67020.0,18455.0,0.0,0.7054262230110454,0.23097203315355055,0.063601743835404,0.0,0.7054262230110454,0.23097203315355055,0.063601743835404,0.0,0.7054262230110454,0.23097203315355055,0.063601743835404,0.063601743835404,0.063601743835404,0.063601743835404,19865.0,39,0,0,,0.0,0.06712736120028386,,0.045849821681567246,0.09623992837958818,0.21809807640205905,0.06712736120028386,19865.0,295930.0,39,39,1.0,1.0
FI,2020,38,38,1.0,8036.184210526316,8036.184210526316,38,1.0,high,True,305375.0,305375.0,True,299505.0,38,0,0,,0.0,0.0,210635.0,70165.0,18705.0,0.0,0.7032770738385002,0.2342698786330779,0.062453047528421894,0.0,0.7032770738385002,0.2342698786330779,0.062453047528421894,0.0,0.7032770738385002,0.2342698786330779,0.062453047528421894,0.062453047528421894,0.062453047528421894,0.062453047528421894,20855.0,38,0,0,,0.0,0.0682930822758903,,0.0458613240914378,0.09841088861968218,0.22988505747126436,0.0682930822758903,20855.0,305375.0,38,38,1.0,1.0
FI,2021,38,38,1.0,8305.0,8305.0,38,1.0,high,True,315590.0,315590.0,True,309735.0,38,0,0,,0.0,0.0,216265.0,74280.0,19190.0,0.0,0.698225902787867,0.2398179088575718,0.06195618835456116,0.0,0.698225902787867,0.2398179088575718,0.06195618835456116,0.0,0.698225902787867,0.2398179088575718,0.06195618835456116,0.06195618835456116,0.06195618835456116,0.06195618835456116,22795.0,38,0,0,,0.0,0.07222979181849869,,0.049291378632696,0.10022886375875067,0.2433559145388223,0.07222979181849869,22795.0,315590.0,38,38,1.0,1.0
FI,2022,38,38,1.0,8623.0,8623.0,38,1.0,high,True,327674.0,327674.0,True,321805.0,38,0,0,,0.0,0.0,225486.0,77188.0,19131.0,0.0,0.7006914125013595,0.23985954226938674,0.05944904522925374,0.0,0.7006914125013595,0.23985954226938674,0.05944904522925374,0.0,0.7006914125013595,0.23985954226938674,0.05944904522925374,0.05944904522925374,0.05944904522925374,0.05944904522925374,26220.0,38,0,0,,0.0,0.08001855502725269,,0.05779516244910992,0.1093045551121936,0.24745177983377764,0.08001855502725269,26220.0,327674.0,38,38,1.0,1.0
FI,2023,38,38,1.0,8916.105263157895,8916.105263157895,38,1.0,high,True,338812.0,338812.0,True,332917.0,38,0,0,,0.0,0.0,232051.0,81356.0,19510.0,0.0,0.6970235824544857,0.24437322215447094,0.05860319539104342,0.0,0.6970235824544857,0.24437322215447094,0.05860319539104342,0.0,0.6970235824544857,0.24437322215447094,0.05860319539104342,0.05860319539104342,0.05860319539104342,0.05860319539104342,31656.0,38,0,0,,0.0,0.09343234596177231,,0.06954074750809089,0.12746447711293574,0.26319835981547923,0.09343234596177231,31656.0,338812.0,38,38,1.0,1.0
FR,2014,375,322,0.8586666666666667,5532.0496894409935,4750.1866666666665,248,0.6613333333333333,medium,False,1781320.0,1781320.0,True,1388630.0,252,0,0,,0.0,141470.0,760810.0,415730.0,70620.0,0.10187738994548584,0.5478853258247337,0.29938140469383495,0.0508558795359455,,,,,,,,,,0.0508558795359455,,249990.0,252,0,4,0.0,0.0,0.14462870879001674,0.0667632713649537,0.11754577358341767,0.2162461212806389,0.42225998300764656,0.14033974805200639,249990.0,1728495.0,251,251,0.6693333333333333,0.9703450250376126
FR,2015,377,0,0.0,,,0,0.0,no_complete_records,False,,,True,,0,0,0,,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
FR,2017,212,204,0.9622641509433962,7546.583333333333,7261.806603773585,0,0.0,no_complete_records,False,1539503.0,1539503.0,True,1539503.0,0,0,77,0.0,0.0,139327.0,775083.0,625093.0,,,,,,,,,,,,,,,,,224310.0,0,0,77,0.0,0.0,0.14570286644456035,0.10829918106325408,0.12752956780112581,0.17657372582959655,,0.14570286644456035,224310.0,1539503.0,123,123,0.5801886792452831,1.0
FR,2018,209,0,0.0,,,0,0.0,no_complete_records,False,,,True,,0,0,0,,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
FR,2019,205,205,1.0,9070.765853658537,9070.765853658537,115,0.5609756097560976,medium,False,1859507.0,1859507.0,True,1590887.0,196,0,86,0.0,0.0,130892.0,762116.0,636922.0,60957.0,0.08227611389118146,0.4790509948223852,0.4003565306649687,0.03831636062146463,,,,,,,,,,0.03831636062146463,,277727.0,196,0,86,0.0,0.0,0.1493551785500135,0.1056214283531461,0.13238929506794242,0.17259256235457404,0.4216086749676001,0.1493551785500135,277727.0,1859507.0,117,117,0.5707317073170731,1.0
